#{"t_start": 1747225510.3765051, "env_id": "None"}
r,l,t
18.0,18,0.86746
21.0,21,0.899083
35.0,35,0.927156
20.0,20,0.95262
14.0,14,0.9624
15.0,15,0.973215
48.0,48,1.006278
17.0,17,1.019344
18.0,18,1.033804
44.0,44,1.063764
9.0,9,1.079121
13.0,13,1.083326
20.0,20,1.099838
73.0,73,1.148665
13.0,13,1.167432
36.0,36,1.188599
24.0,24,1.20337
16.0,16,1.216509
25.0,25,1.233523
24.0,24,1.250597
23.0,23,1.266442
30.0,30,1.283839
20.0,20,1.301575
24.0,24,1.317586
15.0,15,1.330679
24.0,24,1.350844
22.0,22,1.366716
12.0,12,1.380214
45.0,45,1.406198
33.0,33,1.430641
11.0,11,1.43545
16.0,16,1.450886
19.0,19,1.466839
15.0,15,1.479262
19.0,19,1.496213
14.0,14,1.508765
70.0,70,1.567181
12.0,12,1.575954
11.0,11,1.581321
13.0,13,1.597341
14.0,14,1.60034
26.0,26,1.627924
11.0,11,1.63308
10.0,10,1.642352
23.0,23,1.650681
13.0,13,1.667211
19.0,19,1.682386
12.0,12,1.688643
17.0,17,1.699573
15.0,15,1.711744
25.0,25,1.727003
22.0,22,1.733075
14.0,14,1.749451
12.0,12,1.761915
13.0,13,1.766979
10.0,10,1.778284
48.0,48,1.801424
74.0,74,1.844791
20.0,20,1.863488
26.0,26,1.877881
21.0,21,1.888905
17.0,17,1.900521
14.0,14,1.900521
14.0,14,1.917787
18.0,18,1.931655
30.0,30,1.949819
27.0,27,1.966985
24.0,24,1.982904
14.0,14,1.991324
26.0,26,2.008351
45.0,45,2.028045
16.0,16,2.045174
21.0,21,2.049695
16.0,16,2.067433
43.0,43,2.096047
15.0,15,2.100595
20.0,20,2.11558
28.0,28,2.132111
22.0,22,2.14649
15.0,15,2.153795
29.0,29,2.167199
18.0,18,2.184535
37.0,37,2.204736
27.0,27,2.217902
17.0,17,2.233083
16.0,16,2.234214
59.0,59,2.267684
24.0,24,2.289633
