#{"t_start": 1747227380.172975, "env_id": "None"}
r,l,t
20.0,20,0.068121
12.0,12,0.115289
19.0,19,0.170512
14.0,14,0.201023
15.0,15,0.246458
22.0,22,0.305774
17.0,17,0.347739
10.0,10,0.365879
15.0,15,0.400485
37.0,37,0.477597
10.0,10,0.500171
10.0,10,0.510418
15.0,15,0.531934
12.0,12,0.552187
18.0,18,0.606115
14.0,14,0.627783
26.0,26,0.673755
35.0,35,0.7473
21.0,21,0.784284
11.0,11,0.801765
13.0,13,0.819833
31.0,31,0.88185
41.0,41,0.944661
11.0,11,0.959079
14.0,14,0.983393
18.0,18,1.012421
29.0,29,1.067185
25.0,25,1.100778
15.0,15,1.113223
67.0,67,1.171135
23.0,23,1.22263
15.0,15,1.265082
17.0,17,1.30649
16.0,16,1.329225
10.0,10,1.343858
35.0,35,1.416708
18.0,18,1.44231
20.0,20,1.471012
22.0,22,1.491076
16.0,16,1.516799
14.0,14,1.536948
36.0,36,1.584504
18.0,18,1.607615
16.0,16,1.639059
16.0,16,1.658549
12.0,12,1.677514
24.0,24,1.729986
28.0,28,1.783623
31.0,31,1.838639
23.0,23,1.877953
13.0,13,1.89538
17.0,17,1.912166
22.0,22,1.924554
21.0,21,1.960026
13.0,13,1.983118
28.0,28,2.031625
20.0,20,2.045135
28.0,28,2.092219
25.0,25,2.12131
25.0,25,2.155527
60.0,60,2.257597
15.0,15,2.315972
30.0,30,2.379402
17.0,17,2.437053
17.0,17,2.483173
17.0,17,2.507064
24.0,24,2.54962
24.0,24,2.582308
13.0,13,2.59249
29.0,29,2.645779
19.0,19,2.672975
25.0,25,2.71062
29.0,29,2.747209
15.0,15,2.784581
16.0,16,2.819026
13.0,13,2.83994
17.0,17,2.870966
15.0,15,2.901762
14.0,14,2.916909
82.0,82,3.038158
16.0,16,3.06513
11.0,11,3.081521
18.0,18,3.107908
12.0,12,3.126838
32.0,32,3.167977
21.0,21,3.205766
25.0,25,3.250867
23.0,23,3.27635
23.0,23,3.303723
12.0,12,3.322793
30.0,30,3.369915
30.0,30,3.43199
33.0,33,3.498782
20.0,20,3.556705
26.0,26,5.419383
66.0,66,5.536219
19.0,19,5.581173
22.0,22,5.624364
28.0,28,5.68013
20.0,20,5.731283
17.0,17,5.764553
33.0,33,5.809031
14.0,14,5.859105
19.0,19,5.902788
14.0,14,5.924708
19.0,19,5.968167
15.0,15,6.006627
13.0,13,6.033143
23.0,23,6.067297
31.0,31,6.113584
23.0,23,6.133949
17.0,17,6.168644
20.0,20,6.20528
43.0,43,6.248958
14.0,14,6.265899
14.0,14,6.275024
12.0,12,6.282772
39.0,39,6.337392
16.0,16,6.349398
22.0,22,6.362129
20.0,20,6.384586
32.0,32,6.419306
13.0,13,6.428014
16.0,16,6.438277
23.0,23,6.449821
12.0,12,6.456933
15.0,15,6.469777
14.0,14,6.476969
21.0,21,6.490998
21.0,21,6.506779
31.0,31,6.553997
12.0,12,6.560552
15.0,15,6.571978
34.0,34,6.613845
60.0,60,6.679502
25.0,25,6.69472
26.0,26,6.726417
21.0,21,6.753516
22.0,22,6.776721
14.0,14,6.794123
41.0,41,6.841882
14.0,14,6.872375
27.0,27,6.906254
18.0,18,6.932649
30.0,30,6.971654
22.0,22,7.015477
13.0,13,7.04896
13.0,13,7.063161
18.0,18,7.077562
23.0,23,7.095715
35.0,35,7.138283
22.0,22,7.175403
27.0,27,7.21446
18.0,18,7.233427
15.0,15,7.24984
22.0,22,7.263977
21.0,21,7.286907
22.0,22,7.308065
12.0,12,7.317997
12.0,12,7.327604
13.0,13,7.339001
24.0,24,7.353846
11.0,11,7.371043
23.0,23,7.399013
14.0,14,7.429143
9.0,9,7.446743
14.0,14,7.460078
24.0,24,7.495089
37.0,37,7.540877
15.0,15,7.552925
13.0,13,7.564221
27.0,27,7.655236
13.0,13,7.676935
22.0,22,7.698663
18.0,18,7.73106
22.0,22,7.784384
23.0,23,7.834187
24.0,24,7.881633
12.0,12,7.897423
18.0,18,7.921781
12.0,12,7.938268
27.0,27,7.96145
25.0,25,7.99145
32.0,32,8.013417
30.0,30,8.044277
26.0,26,8.076166
23.0,23,8.096822
40.0,40,9.588938
19.0,19,9.606712
20.0,20,9.625396
19.0,19,9.636724
14.0,14,9.645151
30.0,30,9.68541
25.0,25,9.721539
12.0,12,9.737572
11.0,11,9.751612
22.0,22,9.779951
39.0,39,9.816323
16.0,16,9.837751
26.0,26,9.873154
13.0,13,9.894839
16.0,16,9.918628
16.0,16,9.946785
17.0,17,9.975968
16.0,16,9.994807
19.0,19,10.029857
40.0,40,10.09549
14.0,14,10.115657
48.0,48,10.177622
20.0,20,10.202863
11.0,11,10.222483
36.0,36,10.280166
29.0,29,10.318964
22.0,22,10.343595
36.0,36,10.398652
21.0,21,10.424813
12.0,12,10.442683
10.0,10,10.454143
47.0,47,10.48438
29.0,29,10.520392
43.0,43,10.577058
21.0,21,10.592481
13.0,13,10.599808
45.0,45,10.657269
17.0,17,10.675588
16.0,16,10.702866
27.0,27,10.738627
10.0,10,10.745628
11.0,11,10.752734
24.0,24,10.7729
14.0,14,10.780763
20.0,20,10.804852
13.0,13,10.821838
15.0,15,10.832132
11.0,11,10.848284
12.0,12,10.868646
14.0,14,10.893695
13.0,13,10.915563
13.0,13,10.937854
27.0,27,10.957848
18.0,18,10.980322
55.0,55,11.025449
38.0,38,11.047889
17.0,17,11.065026
18.0,18,11.087211
20.0,20,11.110969
12.0,12,11.119341
13.0,13,11.138568
46.0,46,11.179614
17.0,17,11.195432
34.0,34,11.222132
25.0,25,11.237694
13.0,13,11.247935
24.0,24,11.287134
13.0,13,11.30863
17.0,17,11.329577
25.0,25,11.367256
24.0,24,11.397119
19.0,19,11.421192
9.0,9,11.431228
15.0,15,11.45321
17.0,17,11.46583
16.0,16,11.47822
27.0,27,11.496482
18.0,18,11.514232
27.0,27,11.536401
22.0,22,11.549024
13.0,13,11.559866
57.0,57,11.59314
18.0,18,11.604941
15.0,15,11.613728
19.0,19,11.62858
23.0,23,11.655983
16.0,16,11.674733
13.0,13,11.687217
18.0,18,11.703585
15.0,15,11.723541
13.0,13,11.748987
10.0,10,11.762253
15.0,15,11.779138
34.0,34,11.821816
15.0,15,11.833049
25.0,25,11.851849
17.0,17,11.884156
12.0,12,13.262405
17.0,17,13.272327
18.0,18,13.285241
38.0,38,13.312074
30.0,30,13.331515
22.0,22,13.345766
12.0,12,13.354127
13.0,13,13.363768
14.0,14,13.377396
19.0,19,13.392011
29.0,29,13.41238
9.0,9,13.41899
25.0,25,13.435373
14.0,14,13.446624
15.0,15,13.457614
15.0,15,13.467797
23.0,23,13.483772
10.0,10,13.494283
13.0,13,13.50108
16.0,16,13.514738
21.0,21,13.530006
47.0,47,13.566989
19.0,19,13.580656
20.0,20,13.596663
21.0,21,13.611359
15.0,15,13.622163
10.0,10,13.629857
15.0,15,13.641052
24.0,24,13.657261
24.0,24,13.675147
22.0,22,13.689168
38.0,38,13.716558
15.0,15,13.73083
36.0,36,13.756212
15.0,15,13.765866
23.0,23,13.784712
28.0,28,13.807532
17.0,17,13.817573
33.0,33,13.846105
17.0,17,13.861367
16.0,16,13.875756
21.0,21,13.892851
20.0,20,13.913803
13.0,13,13.925959
21.0,21,13.941602
16.0,16,13.953921
10.0,10,13.965087
18.0,18,13.980086
17.0,17,13.994761
16.0,16,14.006047
18.0,18,14.025014
14.0,14,14.034722
25.0,25,14.053241
15.0,15,14.065684
18.0,18,14.081324
86.0,86,14.146746
42.0,42,14.179333
11.0,11,14.186665
17.0,17,14.199437
15.0,15,14.212717
11.0,11,14.219215
36.0,36,14.247584
17.0,17,14.26126
11.0,11,14.2683
20.0,20,14.284184
18.0,18,14.298904
39.0,39,14.330148
41.0,41,14.366249
9.0,9,14.373065
24.0,24,14.398094
51.0,51,14.44011
14.0,14,14.448517
24.0,24,14.4671
17.0,17,14.47896
9.0,9,14.485635
16.0,16,14.499005
14.0,14,14.510559
14.0,14,14.518637
19.0,19,14.532907
12.0,12,14.543516
17.0,17,14.555379
18.0,18,14.568023
33.0,33,14.595158
20.0,20,14.609873
17.0,17,14.624174
35.0,35,14.64881
15.0,15,14.660744
16.0,16,14.672024
31.0,31,14.696136
37.0,37,14.72551
24.0,24,14.744477
14.0,14,14.757529
16.0,16,14.769152
15.0,15,14.782786
19.0,19,14.798029
24.0,24,14.816709
11.0,11,14.827845
26.0,26,15.919202
16.0,16,15.92913
36.0,36,15.952743
21.0,21,15.970759
15.0,15,15.983312
52.0,52,16.01851
11.0,11,16.029761
19.0,19,16.045329
19.0,19,16.058751
17.0,17,16.070501
36.0,36,16.097672
27.0,27,16.117803
28.0,28,16.143395
25.0,25,16.16143
12.0,12,16.167946
44.0,44,16.203151
48.0,48,16.239048
13.0,13,16.249199
10.0,10,16.257267
13.0,13,16.265875
26.0,26,16.285205
12.0,12,16.296141
20.0,20,16.311576
14.0,14,16.321176
37.0,37,16.349068
13.0,13,16.361359
16.0,16,16.373576
16.0,16,16.386094
12.0,12,16.400753
22.0,22,16.426753
21.0,21,16.444176
16.0,16,16.453342
16.0,16,16.466077
21.0,21,16.48126
64.0,64,16.674201
19.0,19,16.689323
20.0,20,16.711989
29.0,29,16.733835
21.0,21,16.752109
38.0,38,16.785616
30.0,30,16.806836
16.0,16,16.81959
17.0,17,16.833989
14.0,14,16.843714
26.0,26,16.86405
26.0,26,16.88264
39.0,39,16.907133
23.0,23,16.922263
24.0,24,16.938689
10.0,10,16.948418
55.0,55,16.985873
13.0,13,16.996994
18.0,18,17.00663
54.0,54,17.045223
15.0,15,17.065339
20.0,20,17.101381
22.0,22,17.1163
10.0,10,17.136058
65.0,65,17.178959
21.0,21,17.189566
12.0,12,17.199628
21.0,21,17.212337
27.0,27,17.229849
28.0,28,17.249191
36.0,36,17.270495
26.0,26,17.289795
17.0,17,17.3015
21.0,21,17.317096
19.0,19,17.332417
26.0,26,17.355944
15.0,15,17.367667
13.0,13,17.377433
27.0,27,17.396652
11.0,11,17.403037
16.0,16,17.414248
22.0,22,17.429702
16.0,16,17.439255
23.0,23,17.45623
23.0,23,17.471147
44.0,44,17.503013
20.0,20,17.516842
15.0,15,17.528786
15.0,15,17.53727
12.0,12,17.547968
31.0,31,17.569362
11.0,11,17.578982
17.0,17,17.588677
45.0,45,17.620663
13.0,13,18.494205
25.0,25,18.515118
35.0,35,18.534722
33.0,33,18.568028
15.0,15,18.58612
24.0,24,18.603145
40.0,40,18.633314
15.0,15,18.655725
14.0,14,18.668597
16.0,16,18.680305
12.0,12,18.688783
20.0,20,18.703696
18.0,18,18.71961
25.0,25,18.737025
45.0,45,18.767956
53.0,53,18.817099
12.0,12,18.832446
18.0,18,18.84849
17.0,17,18.862484
40.0,40,18.889235
23.0,23,18.905174
26.0,26,18.924291
15.0,15,18.945061
18.0,18,18.956105
19.0,19,18.971004
12.0,12,18.983753
17.0,17,18.997558
13.0,13,19.007074
43.0,43,19.038443
66.0,66,19.086987
9.0,9,19.093404
17.0,17,19.105036
14.0,14,19.116797
48.0,48,19.150495
17.0,17,19.162195
20.0,20,19.178663
25.0,25,19.196755
16.0,16,19.208506
25.0,25,19.225657
19.0,19,19.23898
27.0,27,19.272028
39.0,39,19.315928
16.0,16,19.338817
27.0,27,19.364374
19.0,19,19.38633
23.0,23,19.41522
18.0,18,19.438186
16.0,16,19.452117
28.0,28,19.473486
10.0,10,19.483023
16.0,16,19.499805
12.0,12,19.508336
12.0,12,19.522144
24.0,24,19.547126
26.0,26,19.577028
10.0,10,19.586554
31.0,31,19.615124
19.0,19,19.627348
24.0,24,19.650795
35.0,35,19.689022
24.0,24,19.713255
37.0,37,19.7481
24.0,24,19.771584
13.0,13,19.784305
17.0,17,19.799332
56.0,56,19.844336
15.0,15,19.863569
34.0,34,19.891353
15.0,15,19.909673
85.0,85,19.968794
18.0,18,19.980696
21.0,21,19.99241
20.0,20,20.004114
28.0,28,20.022335
45.0,45,20.05329
35.0,35,20.075714
15.0,15,20.087476
36.0,36,20.110048
14.0,14,20.121744
27.0,27,20.141372
35.0,35,20.167829
22.0,22,20.185026
17.0,17,20.198875
39.0,39,21.14102
13.0,13,21.156688
12.0,12,21.166281
22.0,22,21.179
20.0,20,21.190752
11.0,11,21.201414
12.0,12,21.207781
30.0,30,21.234973
19.0,19,21.249113
14.0,14,21.256755
52.0,52,21.291835
13.0,13,21.30248
18.0,18,21.315211
15.0,15,21.325908
15.0,15,21.337091
15.0,15,21.348774
16.0,16,21.358392
24.0,24,21.375541
25.0,25,21.392605
29.0,29,21.414065
11.0,11,21.421597
16.0,16,21.43495
26.0,26,21.451922
29.0,29,21.473146
19.0,19,21.488769
13.0,13,21.498473
12.0,12,21.505914
18.0,18,21.519834
22.0,22,21.536273
10.0,10,21.54274
16.0,16,21.557563
23.0,23,21.581229
13.0,13,21.591172
20.0,20,21.612574
35.0,35,21.65135
16.0,16,21.669519
21.0,21,21.686571
20.0,20,21.707437
47.0,47,21.744099
18.0,18,21.766495
25.0,25,21.78777
29.0,29,21.808035
37.0,37,21.834455
20.0,20,21.850605
21.0,21,21.865616
37.0,37,21.891382
14.0,14,21.903227
9.0,9,21.911819
20.0,20,21.926002
21.0,21,21.94158
21.0,21,21.956459
26.0,26,21.974833
24.0,24,21.993042
22.0,22,22.011371
19.0,19,22.025634
24.0,24,22.042622
20.0,20,22.058686
23.0,23,22.075739
38.0,38,22.105721
13.0,13,22.116433
9.0,9,22.121764
18.0,18,22.136105
19.0,19,22.151433
17.0,17,22.164226
46.0,46,22.199601
42.0,42,22.230988
20.0,20,22.245821
12.0,12,22.25516
14.0,14,22.266976
17.0,17,22.277633
15.0,15,22.289334
20.0,20,22.305447
23.0,23,22.32251
19.0,19,22.337898
36.0,36,22.367535
43.0,43,22.40728
20.0,20,22.430225
79.0,79,22.49974
22.0,22,22.514618
11.0,11,22.524302
43.0,43,22.556799
29.0,29,22.576063
39.0,39,22.603174
15.0,15,22.614824
24.0,24,22.634577
12.0,12,22.642036
15.0,15,22.655906
14.0,14,22.668705
15.0,15,22.678362
13.0,13,22.690167
24.0,24,22.711579
53.0,53,25.208167
13.0,13,25.215979
17.0,17,25.224902
38.0,38,25.262655
9.0,9,25.269739
12.0,12,25.282303
12.0,12,25.293163
13.0,13,25.305644
10.0,10,25.31338
17.0,17,25.33229
11.0,11,25.340873
14.0,14,25.350343
26.0,26,25.373016
13.0,13,25.381119
21.0,21,25.398107
15.0,15,25.415395
25.0,25,25.451686
30.0,30,25.483927
17.0,17,25.493877
23.0,23,25.525365
28.0,28,25.560542
19.0,19,25.578117
20.0,20,25.593113
16.0,16,25.603346
11.0,11,25.610135
24.0,24,25.63632
9.0,9,25.641547
14.0,14,25.659634
9.0,9,25.672135
12.0,12,25.688097
38.0,38,25.721682
11.0,11,25.726728
13.0,13,25.736736
13.0,13,25.744203
57.0,57,25.776344
19.0,19,25.787439
11.0,11,25.798078
11.0,11,25.809707
18.0,18,25.831845
29.0,29,25.875379
9.0,9,25.887815
39.0,39,25.945059
24.0,24,25.983228
34.0,34,26.035956
36.0,36,26.060448
58.0,58,26.132101
42.0,42,26.157375
11.0,11,26.165856
19.0,19,26.189487
34.0,34,26.214239
12.0,12,26.222482
11.0,11,26.227787
20.0,20,26.241796
59.0,59,26.302719
23.0,23,26.321307
17.0,17,26.333247
17.0,17,26.348177
41.0,41,26.397103
15.0,15,26.41046
16.0,16,26.422291
18.0,18,26.430645
23.0,23,26.445406
29.0,29,26.473625
20.0,20,26.487274
21.0,21,26.501488
22.0,22,26.515529
34.0,34,26.541322
26.0,26,26.56325
13.0,13,26.576263
18.0,18,26.589941
31.0,31,26.609325
22.0,22,26.629259
15.0,15,26.645682
21.0,21,26.660417
10.0,10,26.667617
9.0,9,26.673222
20.0,20,26.6898
15.0,15,26.705298
9.0,9,26.71708
14.0,14,26.734125
21.0,21,26.759516
17.0,17,26.771645
13.0,13,26.78888
22.0,22,26.823702
15.0,15,26.837867
20.0,20,26.851489
25.0,25,26.877288
11.0,11,26.905818
13.0,13,26.926401
23.0,23,26.96307
10.0,10,26.981293
44.0,44,27.039794
37.0,37,27.074567
51.0,51,27.140056
13.0,13,27.155647
16.0,16,27.184206
54.0,54,28.740022
15.0,15,28.750052
19.0,19,28.768898
29.0,29,28.798847
35.0,35,28.838473
9.0,9,28.844748
17.0,17,28.875145
13.0,13,28.887044
26.0,26,28.926745
16.0,16,28.952926
21.0,21,28.975889
18.0,18,29.008376
18.0,18,29.035096
24.0,24,29.068924
13.0,13,29.083466
13.0,13,29.096794
31.0,31,29.139453
31.0,31,29.176933
43.0,43,29.273401
18.0,18,29.303864
16.0,16,29.343686
32.0,32,29.403427
39.0,39,29.441944
12.0,12,29.457624
16.0,16,29.470754
28.0,28,29.523833
30.0,30,29.559966
11.0,11,29.578584
19.0,19,29.609567
42.0,42,29.677813
12.0,12,29.697594
12.0,12,29.71634
22.0,22,29.754388
17.0,17,29.783309
14.0,14,29.814024
36.0,36,29.881058
31.0,31,29.925466
28.0,28,29.975626
11.0,11,29.98933
20.0,20,30.041842
9.0,9,30.060492
13.0,13,30.085545
14.0,14,30.110488
16.0,16,30.141249
26.0,26,30.181326
12.0,12,30.195597
22.0,22,30.2264
39.0,39,30.265846
19.0,19,30.281637
12.0,12,30.300592
13.0,13,30.322387
32.0,32,30.355931
15.0,15,30.381239
14.0,14,30.399185
11.0,11,30.411277
21.0,21,30.445079
14.0,14,30.460769
23.0,23,30.480243
19.0,19,30.515197
18.0,18,30.551445
9.0,9,30.56937
12.0,12,30.598461
10.0,10,30.6269
28.0,28,30.68821
24.0,24,30.727852
25.0,25,30.77308
11.0,11,30.781565
17.0,17,30.810899
31.0,31,30.847733
11.0,11,30.858519
35.0,35,30.887962
42.0,42,30.932262
23.0,23,30.948948
14.0,14,30.965215
17.0,17,30.985584
34.0,34,31.033283
30.0,30,31.077974
22.0,22,31.115771
23.0,23,31.159445
21.0,21,31.189851
20.0,20,31.212923
20.0,20,31.24793
40.0,40,31.301343
18.0,18,31.339873
13.0,13,31.357482
19.0,19,31.387589
9.0,9,31.408252
12.0,12,31.427026
32.0,32,31.492319
22.0,22,31.55401
24.0,24,31.586886
49.0,49,31.661407
15.0,15,31.676661
20.0,20,31.706345
16.0,16,31.719188
24.0,24,31.749369
26.0,26,33.332621
23.0,23,33.354839
21.0,21,33.368173
34.0,34,33.396048
14.0,14,33.405916
20.0,20,33.435407
19.0,19,33.45986
11.0,11,33.478911
27.0,27,33.531628
29.0,29,33.568021
15.0,15,33.58382
34.0,34,33.618802
25.0,25,33.651406
15.0,15,33.676091
13.0,13,33.692424
13.0,13,33.708683
12.0,12,33.718307
14.0,14,33.750012
27.0,27,33.802075
