#{"t_start": 1747228431.9435072, "env_id": "None"}
r,l,t
21.0,21,0.051852
11.0,11,0.067352
12.0,12,0.074765
14.0,14,0.086146
63.0,63,0.124316
76.0,76,0.181026
20.0,20,0.203718
14.0,14,0.215244
15.0,15,0.229312
14.0,14,0.238575
37.0,37,0.268511
18.0,18,0.286555
15.0,15,0.303914
13.0,13,0.313976
20.0,20,0.328947
11.0,11,0.338804
22.0,22,0.355741
29.0,29,0.380645
17.0,17,0.396273
21.0,21,0.410344
18.0,18,0.421944
18.0,18,0.436682
26.0,26,0.457816
22.0,22,0.473938
14.0,14,0.483685
17.0,17,0.499409
20.0,20,0.51264
15.0,15,0.523292
12.0,12,0.531185
22.0,22,0.544978
21.0,21,0.559188
30.0,30,0.580702
19.0,19,0.5982
47.0,47,0.627759
26.0,26,0.644872
10.0,10,0.650894
26.0,26,0.667116
41.0,41,0.690045
14.0,14,0.713804
21.0,21,0.72885
30.0,30,0.750147
15.0,15,0.76309
12.0,12,0.769192
31.0,31,0.790735
14.0,14,0.799811
21.0,21,0.812837
13.0,13,0.820825
17.0,17,0.831503
51.0,51,0.8644
11.0,11,0.869553
26.0,26,0.885093
32.0,32,0.904448
26.0,26,0.92077
10.0,10,0.929556
14.0,14,0.93792
20.0,20,0.951116
14.0,14,0.963205
16.0,16,0.974741
10.0,10,0.983436
16.0,16,0.996259
22.0,22,1.014253
21.0,21,1.028367
14.0,14,1.038315
29.0,29,1.063103
17.0,17,1.07462
12.0,12,1.083307
24.0,24,1.098656
15.0,15,1.10915
12.0,12,1.119796
21.0,21,1.133746
12.0,12,1.140209
13.0,13,1.15119
21.0,21,1.164336
20.0,20,1.178237
21.0,21,1.190928
18.0,18,1.202907
42.0,42,1.237973
37.0,37,1.26275
14.0,14,1.271153
17.0,17,1.282913
16.0,16,1.291061
14.0,14,1.299606
11.0,11,1.304793
39.0,39,1.325312
48.0,48,1.352862
40.0,40,1.373774
28.0,28,1.390418
13.0,13,1.399921
25.0,25,1.416432
17.0,17,1.426353
57.0,57,1.458646
9.0,9,1.466311
23.0,23,1.483191
19.0,19,2.336538
12.0,12,2.343295
