#{"t_start": 1747228471.5344677, "env_id": "None"}
r,l,t
21.0,21,7.084452
11.0,11,7.133892
12.0,12,7.163916
14.0,14,7.184045
63.0,63,7.228295
76.0,76,7.296646
20.0,20,7.313664
14.0,14,7.322122
15.0,15,7.330853
14.0,14,7.34411
37.0,37,7.375549
18.0,18,7.387232
15.0,15,7.399178
13.0,13,7.405872
20.0,20,7.418522
11.0,11,7.426264
22.0,22,7.437559
29.0,29,7.466889
17.0,17,7.494035
21.0,21,7.528448
18.0,18,7.559532
18.0,18,7.584376
26.0,26,7.625006
22.0,22,7.668151
14.0,14,7.692927
17.0,17,7.70896
20.0,20,7.731235
15.0,15,7.747498
12.0,12,7.758696
22.0,22,7.780377
21.0,21,7.793656
30.0,30,7.813719
19.0,19,7.823488
47.0,47,7.848134
26.0,26,7.866504
10.0,10,7.872988
26.0,26,7.898275
41.0,41,7.934986
14.0,14,7.956218
21.0,21,7.967762
30.0,30,7.984865
15.0,15,7.99784
12.0,12,8.004787
31.0,31,8.022344
14.0,14,8.033874
21.0,21,8.043643
13.0,13,8.052327
17.0,17,8.062843
51.0,51,8.090815
11.0,11,8.099654
26.0,26,8.117473
32.0,32,8.136128
26.0,26,8.164877
10.0,10,8.171153
14.0,14,8.180906
20.0,20,8.195542
14.0,14,8.203665
16.0,16,8.218788
10.0,10,8.230677
16.0,16,8.243619
22.0,22,8.258635
21.0,21,8.273987
14.0,14,8.285138
29.0,29,8.303878
17.0,17,8.315679
12.0,12,8.322891
24.0,24,8.337597
15.0,15,8.350451
12.0,12,8.360951
21.0,21,8.41603
12.0,12,8.4429
13.0,13,8.464763
21.0,21,8.503668
20.0,20,8.536482
21.0,21,8.578582
18.0,18,8.60344
42.0,42,8.674103
37.0,37,8.70013
14.0,14,8.711512
17.0,17,8.722515
16.0,16,8.732386
14.0,14,8.741683
11.0,11,8.753689
39.0,39,8.785035
48.0,48,8.819232
40.0,40,8.851874
28.0,28,8.872751
13.0,13,8.885759
25.0,25,8.915909
17.0,17,8.932705
57.0,57,8.974622
9.0,9,8.982409
23.0,23,9.000742
19.0,19,10.902795
12.0,12,10.915079
36.0,36,10.958066
13.0,13,10.984537
22.0,22,11.001378
40.0,40,11.030545
22.0,22,11.052334
26.0,26,11.071499
11.0,11,11.082935
11.0,11,11.097807
30.0,30,11.125496
23.0,23,11.160399
12.0,12,11.173557
12.0,12,11.193496
17.0,17,11.215908
18.0,18,11.240348
35.0,35,11.289985
16.0,16,11.308424
20.0,20,11.328522
16.0,16,11.34755
22.0,22,11.397204
19.0,19,11.451742
21.0,21,11.496429
23.0,23,11.554498
16.0,16,11.60242
24.0,24,11.677328
19.0,19,11.712054
31.0,31,11.746989
10.0,10,11.759146
43.0,43,11.800029
19.0,19,11.821687
49.0,49,11.871341
18.0,18,11.891995
15.0,15,11.911338
51.0,51,12.040426
11.0,11,12.07259
26.0,26,12.118485
18.0,18,12.143198
20.0,20,12.177158
11.0,11,12.212868
42.0,42,12.331903
16.0,16,12.366442
15.0,15,12.390491
33.0,33,12.444339
41.0,41,12.518053
24.0,24,12.569227
20.0,20,12.622953
46.0,46,12.716734
18.0,18,12.750959
11.0,11,12.772957
20.0,20,12.811385
16.0,16,12.843126
12.0,12,12.873723
13.0,13,12.905785
16.0,16,12.96093
14.0,14,13.003278
18.0,18,13.043604
28.0,28,13.088505
29.0,29,13.118098
31.0,31,13.16778
58.0,58,13.250226
35.0,35,13.278084
24.0,24,13.305803
12.0,12,13.320135
15.0,15,13.33871
13.0,13,13.353664
15.0,15,13.369024
24.0,24,13.387068
24.0,24,13.424505
17.0,17,13.447091
12.0,12,13.466099
14.0,14,13.493887
21.0,21,13.566655
13.0,13,13.606384
51.0,51,13.753321
