#{"t_start": 1747233833.7146332, "env_id": "None"}
r,l,t
18.0,18,1.434404
21.0,21,1.475521
35.0,35,1.532789
20.0,20,1.564114
14.0,14,1.576288
15.0,15,1.595828
48.0,48,1.651887
17.0,17,1.669672
18.0,18,1.695691
44.0,44,1.758877
9.0,9,1.77598
13.0,13,1.786751
20.0,20,1.810579
73.0,73,1.882204
13.0,13,1.904885
36.0,36,1.959415
24.0,24,2.003693
16.0,16,2.020328
25.0,25,2.057934
24.0,24,2.087911
23.0,23,2.123154
30.0,30,2.176867
20.0,20,2.215767
24.0,24,2.246292
15.0,15,2.275941
24.0,24,2.317449
22.0,22,2.34159
12.0,12,2.357761
45.0,45,2.415571
33.0,33,2.451373
11.0,11,2.464236
16.0,16,2.480653
19.0,19,2.498615
15.0,15,2.514679
19.0,19,2.530537
14.0,14,2.543944
70.0,70,2.69306
12.0,12,2.713714
11.0,11,2.739585
13.0,13,2.753797
14.0,14,2.77388
26.0,26,2.802586
11.0,11,2.814711
10.0,10,2.825692
23.0,23,2.863574
13.0,13,2.8843
19.0,19,2.914108
12.0,12,2.928062
17.0,17,2.943406
15.0,15,2.95583
25.0,25,2.978422
22.0,22,2.996835
14.0,14,3.01055
12.0,12,3.025173
13.0,13,3.037693
10.0,10,3.047374
48.0,48,3.088227
74.0,74,3.147085
20.0,20,3.162657
26.0,26,3.180486
21.0,21,3.195621
17.0,17,3.213604
14.0,14,3.226582
14.0,14,3.23743
18.0,18,3.250096
30.0,30,3.271863
27.0,27,3.288775
24.0,24,3.305317
14.0,14,3.315078
26.0,26,3.335171
45.0,45,3.369419
16.0,16,3.380976
21.0,21,3.394813
16.0,16,3.405951
43.0,43,3.433231
15.0,15,3.446878
20.0,20,3.462741
28.0,28,3.485259
22.0,22,3.501038
15.0,15,3.512435
29.0,29,3.533451
18.0,18,3.546402
37.0,37,3.573208
27.0,27,3.595018
17.0,17,3.608397
16.0,16,3.621092
59.0,59,3.666428
24.0,24,3.682314
44.0,44,4.67423
18.0,18,4.683426
21.0,21,4.696217
14.0,14,4.706092
63.0,63,4.744292
34.0,34,4.766598
19.0,19,4.777496
53.0,53,4.809443
17.0,17,4.819055
24.0,24,4.833198
51.0,51,4.868003
32.0,32,4.891198
40.0,40,4.920638
32.0,32,4.942889
30.0,30,4.964428
13.0,13,4.974091
19.0,19,4.987797
12.0,12,4.996296
24.0,24,5.01527
19.0,19,5.028085
13.0,13,5.037724
27.0,27,5.057707
15.0,15,5.068121
39.0,39,5.09951
15.0,15,5.111061
12.0,12,5.118303
24.0,24,5.137849
15.0,15,5.149654
23.0,23,5.165687
27.0,27,5.189865
78.0,78,5.247289
13.0,13,5.257308
28.0,28,5.278981
46.0,46,5.308855
14.0,14,5.319759
23.0,23,5.338082
17.0,17,5.353603
87.0,87,5.41413
21.0,21,5.428204
33.0,33,5.451322
28.0,28,5.469038
22.0,22,5.48706
38.0,38,5.512438
81.0,81,5.568823
21.0,21,5.587293
15.0,15,5.597974
13.0,13,5.607017
16.0,16,5.618534
47.0,47,5.649594
63.0,63,5.688874
17.0,17,5.710223
22.0,22,5.73317
40.0,40,5.764794
58.0,58,5.807928
20.0,20,5.828816
25.0,25,5.853678
74.0,74,5.910609
17.0,17,5.931307
31.0,31,5.963291
18.0,18,5.986583
15.0,15,6.009015
14.0,14,6.019341
54.0,54,6.063045
44.0,44,6.102016
24.0,24,6.126649
25.0,25,6.152268
24.0,24,6.177833
18.0,18,6.197581
32.0,32,7.917707
38.0,38,7.950239
73.0,73,8.002353
33.0,33,8.037952
45.0,45,8.082103
15.0,15,8.10611
77.0,77,8.159497
12.0,12,8.176727
24.0,24,8.19283
65.0,65,8.25331
22.0,22,8.293029
56.0,56,8.345499
19.0,19,8.383087
22.0,22,8.423327
24.0,24,8.448319
21.0,21,8.47589
39.0,39,8.517364
37.0,37,8.551219
26.0,26,8.587085
19.0,19,8.604927
14.0,14,8.618373
106.0,106,8.705632
19.0,19,8.731172
